TIMESTAMP,KEYSTROKE
1821,1
1017,1
781,1
781,1
781,1
781,1
781,1
781,1
781,1
1291,2
674,2
610,2
585,2
432,3
526,3
553,3
700,4
771,4
665,5
995,5
335,6
712,6
562,7
686,7
672,8
993,8
301,9
893,9
617,0
835,0
911,q
245,w
261,e
245,r
289,t
261,y
290,u
250,i
256,o
262,p
487,l
305,k
285,j
322,h
374,g
362,f
319,d
371,s
349,a
275,z
230,x
258,c
244,v
270,b
289,n
318,m
308,","
399,.
507,p
254,o
325,i
395,u
377,y
353,t
320,r
358,e
374,w
332,q
292,a
268,s
268,d
306,f
320,g
326,h
343,j
336,k
300,l
321,.
299,","
391,m
338,n
372,b
326,v
336,c
403,x
414,z
